latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Stagnicola palustris;;;;;;;X;X;X;;X;;;X;X;X;X;;X;X;;;;;X;;X;X;X;X;X;X;
Stempellinella minor;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Stenosemus albus;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stenothoe monoculoides;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stenula rubrovittata;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sthenelais boa;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sthenelais limicola;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stichastrella rosea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stictochironomus crassiforceps;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Stictochironomus psammophilus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Stictochironomus rosenschoeldi;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;
Stictochironomus sticticus;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;;;;;;
Stomachetosella sinuosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stomphia coccinea;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Streblosoma intestinale;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Streblospio shrubsoli;X;X;X;X;X;X;X;X;X;;;;;;;;;X;X;X;X;X;;;X;;X;X;X;X;X;;
Streptosyllis websteri;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;X;;X;;;;;;;
Strongylocentrotus droebachiensis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Styela coriacea;X;X;X;;X;X;X;;X;;;;;;;;;;;;;;;X;;X;;;;;;;
Styela rustica ;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stylaria fossularis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Stylaria lacustris;;;;;;X;;;;;;;X;X;X;X;X;X;X;X;;;;;X;;;X;X;X;X;X;
Stylochoplana maculata;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stylodrilus heringianus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Stylostomum ellipse;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stylurus flavipes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Suberites ficus;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suberites virgultosus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swiftia rosea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sycon ciliatum;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syllides longocirratus;;;;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Syllidia armata;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Syllis armillaris;;;X;X;X;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Syllis cornuta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syllis variegata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sympecma paedisca;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Sympetrum danae;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Sympetrum flaveolum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Sympetrum striolatum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Sympetrum vulgatum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Synchelidium haplocheles;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synchelidium maculatum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synchelidium tenuimanum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synendotendipes impar;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Synoicum pulmonaria;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Synorthocladius semivirens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Talitrus saltator;;;;;;X;X;X;X;;;;;;;;;X;;;;X;;;;;;;X;X;;X;
Tanaissus lilljeborgi;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;
Tanganella muelleri;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;
Tanypus kraatzi;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Tanypus vilipennis;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;
Tanytarsus brundini;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;
Tanytarsus chinyensis;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;;
Tanytarsus eminulus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus excavatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus gr. lestagei ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus gregarius;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Tanytarsus inaequalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus mancus;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;X;X;;;;X;
Tanytarsus medius;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus mendax;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus occultus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus pallidicornis ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus smolandicus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus usmaensis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tanytarsus verralli;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tectura virginea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tegella unicornis;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellimya ferruginosa;X;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellimya tenella;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellina donacina;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellina fabula;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellina pygmaea;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellina tenuis;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Telmatogeton japonicus;;;;;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Temachia microstoma;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tenellia adspersa;;;;;X;X;X;X;;;;X;X;;X;;X;;X;X;X;;;;X;;;X;X;X;X;;
Terebellides stroemi;X;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;X;;X;X;X;X;;;;;;;
Teredo navalis;X;X;;;X;X;X;;;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;
Tessaradoma boreale;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Testudinalia testudinalis;X;X;;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Tetrastemma bioculatum;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Tetrastemma coronatum;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Thalassarachna basteri;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thalassodrilus prostatus;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;
Tharyx mcintoshi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tharyx multibranchiis;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thecocodium quadratum;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Thelepus cincinnatus;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Themisto abyssorum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Theodoxus fluviatilis;X;X;;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;X;X;X;X;X;X;
Theromyzon tessulatum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;
Thia scutellata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thienemannimyia pseudocarnea;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Thracia convexa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thracia papyracea;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Thracia phaseolina ;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thracia pubescens;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thracia villosiuscula;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyasira equalis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyasira flexuosa;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyasira sarsi;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyone fusus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyonidium drummondii;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thyonidium hyalinum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thysanocardia procera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timoclea ovata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tinodes waeneri;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;
Tmetonyx similis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tonicella marmorea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tonicella rubra;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trachythyone elongata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travisia forbesii;X;X;X;;X;X;X;X;;;;;;;;;;;;;X;;X;;;X;;;;;;;
Tribelos intextus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Trichobranchus glacialis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trichobranchus roseus;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trichocladius inaequalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Trichostegia minor;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;;;;
Trididemnum tenerum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trissocladius brevipalpis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Triticella flava;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Triticella pedicellata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tritonia hombergi;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tritonia plebeia;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trivia arctica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trochochaeta multisetosa;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Tryphosites longipes;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubifex ignotus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Tubifex nerthus;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;
Tubifex newaensis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;
Tubifex tubifex;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;;;X;;;;;;X;X;
Tubificoides amplivasatus;;;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubificoides benedii;X;X;X;X;X;X;X;X;X;;;;;X;;;X;X;X;X;X;X;X;X;X;X;;;X;X;;;
Tubificoides heterochaetus;;;X;;X;X;X;X;X;;;;X;X;;;X;;;X;X;X;;X;;X;;X;X;X;X;;
Tubificoides pseudogaster;;;;;;X;X;;;;;;;;;;X;;;X;X;;;;;;;;X;X;;;
Tubulanus annulatus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubulanus polymorphus;;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubularia indivisa;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubulipora aperta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubulipora liliacea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubulipora lobifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubulipora penicillata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tubulipora plumosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turbicellepora avicularis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turbonilla crenata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turbonilla interrupta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turbonilla jeffreysi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turbonilla rufescens;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turrisipho fenestratus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turritella communis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Typhlomangelia nivalis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Typhlotanais aequiremis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulophysema oeresundense;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uncinais uncinata;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;X;X;
Unciola planipes;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unio crassus;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;;
Unio pictorum;;;;;;;;;;;;;;;;;X;;X;;;;;;X;;X;X;;;;X;
Unio tumidus;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;X;
Upogebia deltaura;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Upogebia stellata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urothoe elegans;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urothoe poseidonis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urticina felina;;;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
Valvata cristata;;;;;;;;;;;;;;;X;X;X;;X;X;;;;;X;;;X;;;;X;
Valvata macrostoma;;;;;;;;;;;X;;;;;X;X;;;X;;X;;;X;;;X;;;;X;
Valvata piscinalis;;;;;;;;;;;;;;X;X;X;X;;X;X;;;;;X;;X;X;;X;X;X;
Vejdovskyella comata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Vejdovskyella intermedia;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Vejdovskyella macrochaeta;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Velutina velutina;X;;;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Venerupis senegalensis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verruca stroemia;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Victorella pavida;;;;;;X;;X;;;;;;;;;X;;;X;X;;;;;;X;X;X;;;;
Virgularia mirabilis;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vitreolina philippi;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viviparus contectus;;;;;;;;;;;;;;;;;X;;;X;;;;;;;X;X;;;;X;
Viviparus viviparus;;;;;;;;;;;;;;;;;X;;;;X;;;;;;X;X;;;;X;
Vosmaeria crustacea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Walkeria uva;X;;;;X;X;X;;;;;;;;;;;;;;X;;X;;;;;;;;;;
Westwoodilla caecula;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wormaldia subnigra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Xantho pilipes;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xenochironomus xenolabis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Xenoturbella bocki;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ylodes reuteri;;;;;;;;;;;;X;X;X;;X;X;;X;;;;;;;;;;;;;;
Yoldiella lucida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zalutschia mucronata ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Zirfaea crispata;;X;;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
